ODPair_CO_TAZID,CO_TAZID_O,CO_TAZID_D,External
570412_-808938,570412,-808938,27
570415_-808927,570415,-808927,3
-808778_350742,-808778,350742,18
-808778_350742,-808778,350742,18
-808780_491969,-808780,491969,18
-808780_491997,-808780,491997,18
-808783_50877,-808783,50877,18
-808783_50877,-808783,50877,18
-808785_350742,-808785,350742,18
-808785_350742,-808785,350742,18
-808785_492864,-808785,492864,18
-808785_492867,-808785,492867,18
-808786_350742,-808786,350742,18
-808788_43072,-808788,43072,18
-808788_43072,-808788,43072,18
-808794_50391,-808794,50391,20
-808798_350742,-808798,350742,18
-808815_350742,-808815,350742,18
-808819_491997,-808819,491997,18
-808819_491997,-808819,491997,18
-808826_350742,-808826,350742,18
-808832_350742,-808832,350742,18
-808839_110630,-808839,110630,18
-808839_350742,-808839,350742,18
-808839_350742,-808839,350742,18
-808844_530235,-808844,530235,12
-808844_530378,-808844,530378,12
-808848_350742,-808848,350742,18
-808871_350742,-808871,350742,18
-808874_351113,-808874,351113,18
-808882_350742,-808882,350742,23
-808893_350742,-808893,350742,18
-808897_43094,-808897,43094,18
-808902_350742,-808902,350742,18
-808902_351759,-808902,351759,18
-808902_351759,-808902,351759,18
-808905_350742,-808905,350742,10
-808906_350742,-808906,350742,18
-808916_350742,-808916,350742,18
-808916_350742,-808916,350742,18
-808916_351113,-808916,351113,18
-808916_530352,-808916,530352,12
-808918_110567,-808918,110567,18
-808918_350742,-808918,350742,18
-808918_351087,-808918,351087,18
-808921_492216,-808921,492216,23
-808923_23011,-808923,23011,23
-808923_30082,-808923,30082,23
-808923_3035,-808923,3035,23
-808923_3035,-808923,3035,23
-808923_350873,-808923,350873,23
-808923_350924,-808923,350924,23
-808923_350924,-808923,350924,23
-808923_350931,-808923,350931,23
-808923_492302,-808923,492302,23
-808923_492302,-808923,492302,23
-808923_50436,-808923,50436,23
-808924_3291,-808924,3291,24
-808924_3291,-808924,3291,24
-808924_492297,-808924,492297,24
-808924_492297,-808924,492297,24
-808924_530067,-808924,530067,24
-808925_110557,-808925,110557,24
-808925_30092,-808925,30092,24
-808925_351110,-808925,351110,24
-808925_50587,-808925,50587,24
-808926_350703,-808926,350703,27
-808927_1017,-808927,1017,3
-808927_21050,-808927,21050,3
-808927_21050,-808927,21050,3
-808927_21056,-808927,21056,3
-808927_21069,-808927,21069,3
-808927_21078,-808927,21078,3
-808927_351579,-808927,351579,3
-808927_351678,-808927,351678,3
-808927_492336,-808927,492336,3
-808927_492507,-808927,492507,3
-808927_51020,-808927,51020,3
-808927_530016,-808927,530016,3
-808927_530037,-808927,530037,3
-808927_530051,-808927,530051,3
-808927_530051,-808927,530051,3
-808927_530054,-808927,530054,3
-808927_530054,-808927,530054,3
-808927_530067,-808927,530067,3
-808927_530067,-808927,530067,3
-808927_530085,-808927,530085,3
-808927_530085,-808927,530085,3
-808927_530087,-808927,530087,3
-808927_530099,-808927,530099,3
-808927_530099,-808927,530099,3
-808927_530105,-808927,530105,3
-808927_530105,-808927,530105,3
-808927_530108,-808927,530108,3
-808927_530108,-808927,530108,3
-808927_530126,-808927,530126,3
-808927_530153,-808927,530153,3
-808927_530153,-808927,530153,3
