;New_Node,PrevNode,Type,Source
       471,       471,TAZ,USTM
       472,       472,TAZ,USTM
       473,       473,TAZ,USTM
       474,       474,TAZ,USTM
       475,       475,TAZ,USTM
       476,       476,TAZ,USTM
       477,       477,TAZ,USTM
       478,       478,TAZ,USTM
       479,       479,TAZ,USTM
       480,       480,TAZ,USTM
       481,       481,TAZ,USTM
       482,       482,TAZ,USTM
       483,       483,TAZ,USTM
       484,       484,TAZ,USTM
       485,       485,TAZ,USTM
       486,       486,TAZ,USTM
       487,       487,TAZ,USTM
       488,       488,TAZ,USTM
       489,       489,TAZ,USTM
       490,       490,TAZ,USTM
       491,       491,TAZ,USTM
       492,       492,TAZ,USTM
       493,       493,TAZ,USTM
       494,       494,TAZ,USTM
       495,       495,TAZ,USTM
       496,       496,TAZ,USTM
       497,       497,TAZ,USTM
       498,       498,TAZ,USTM
       499,       499,TAZ,USTM
       500,       500,TAZ,USTM
       501,       501,TAZ,USTM
       502,       502,TAZ,USTM
       503,       503,TAZ,USTM
       504,       504,TAZ,USTM
       505,       505,TAZ,USTM
       506,       506,TAZ,USTM
       507,       507,TAZ,USTM
       508,       508,TAZ,USTM
       509,       509,TAZ,USTM
       510,       510,TAZ,USTM
       511,       511,TAZ,USTM
       512,       512,TAZ,USTM
       513,       513,TAZ,USTM
       514,       514,TAZ,USTM
       515,       515,TAZ,USTM
       516,       516,TAZ,USTM
       517,       517,TAZ,USTM
       518,       518,TAZ,USTM
       519,       519,TAZ,USTM
       520,       520,TAZ,USTM
       521,       521,TAZ,USTM
       522,       522,TAZ,USTM
       523,       523,TAZ,USTM
       524,       524,TAZ,USTM
       525,       525,TAZ,USTM
       526,       526,TAZ,USTM
       527,       527,TAZ,USTM
       528,       528,TAZ,USTM
       529,       529,TAZ,USTM
       530,       530,TAZ,USTM
       531,       531,TAZ,USTM
       532,       532,TAZ,USTM
       533,       533,TAZ,USTM
       534,       534,TAZ,USTM
       535,       535,TAZ,USTM
       536,       536,TAZ,USTM
       537,       537,TAZ,USTM
       538,       538,TAZ,USTM
       539,       539,TAZ,USTM
       540,       540,TAZ,USTM
       541,       541,TAZ,USTM
       542,       542,TAZ,USTM
       543,       543,TAZ,USTM
       544,       544,TAZ,USTM
       545,       545,TAZ,USTM
       546,       546,TAZ,USTM
       547,       547,TAZ,USTM
       548,       548,TAZ,USTM
       549,       549,TAZ,USTM
       550,       550,TAZ,USTM
       551,       551,TAZ,USTM
       552,       552,TAZ,USTM
       553,       553,TAZ,USTM
       554,       554,TAZ,USTM
       555,       555,TAZ,USTM
       556,       556,TAZ,USTM
       557,       557,TAZ,USTM
       558,       558,TAZ,USTM
       559,       559,TAZ,USTM
       560,       560,TAZ,USTM
       561,       561,TAZ,USTM
       562,       562,TAZ,USTM
       563,       563,TAZ,USTM
       564,       564,TAZ,USTM
       565,       565,TAZ,USTM
       566,       566,TAZ,USTM
       567,       567,TAZ,USTM
       568,       568,TAZ,USTM
       569,       569,TAZ,USTM
       570,       570,TAZ,USTM
       571,       571,TAZ,USTM
       572,       572,TAZ,USTM
       573,       573,TAZ,USTM
       574,       574,TAZ,USTM
       575,       575,TAZ,USTM
       576,       576,TAZ,USTM
       577,       577,TAZ,USTM
       578,       578,TAZ,USTM
       579,       579,TAZ,USTM
       580,       580,TAZ,USTM
       581,       581,TAZ,USTM
       582,       582,TAZ,USTM
       583,       583,TAZ,USTM
       584,       584,TAZ,USTM
       585,       585,TAZ,USTM
       586,       586,TAZ,USTM
       587,       587,TAZ,USTM
       588,       588,TAZ,USTM
       589,       589,TAZ,USTM
       590,       590,TAZ,USTM
       591,       591,TAZ,USTM
       592,       592,TAZ,USTM
       593,       593,TAZ,USTM
       594,       594,TAZ,USTM
       595,       595,TAZ,USTM
       596,       596,TAZ,USTM
       597,       597,TAZ,USTM
       598,       598,TAZ,USTM
       599,       599,TAZ,USTM
       600,       600,TAZ,USTM
       601,       601,TAZ,USTM
       602,       602,TAZ,USTM
       603,       603,TAZ,USTM
       604,       604,TAZ,USTM
       605,       605,TAZ,USTM
       606,       606,TAZ,USTM
       607,       607,TAZ,USTM
       608,       608,TAZ,USTM
       609,       609,TAZ,USTM
       610,       610,TAZ,USTM
       611,       611,TAZ,USTM
       612,       612,TAZ,USTM
       613,       613,TAZ,USTM
       614,       614,TAZ,USTM
       615,       615,TAZ,USTM
       616,       616,TAZ,USTM
       617,       617,TAZ,USTM
       618,       618,TAZ,USTM
       619,       619,TAZ,USTM
       620,       620,TAZ,USTM
       621,       621,TAZ,USTM
       622,       622,TAZ,USTM
       623,       623,TAZ,USTM
       624,       624,TAZ,USTM
       625,       625,TAZ,USTM
       626,       626,TAZ,USTM
       627,       627,TAZ,USTM
       628,       628,TAZ,USTM
       629,       629,TAZ,USTM
       630,       630,TAZ,USTM
       631,       631,TAZ,USTM
       632,       632,TAZ,USTM
       633,       633,TAZ,USTM
       634,       634,TAZ,USTM
       635,       635,TAZ,USTM
       636,       636,TAZ,USTM
       637,       637,TAZ,USTM
       638,       638,TAZ,USTM
       639,       639,TAZ,USTM
       640,       640,TAZ,USTM
       641,       641,TAZ,USTM
       642,       642,TAZ,USTM
       643,       643,TAZ,USTM
       644,       644,TAZ,USTM
       645,       645,TAZ,USTM
       646,       646,TAZ,USTM
       647,       647,TAZ,USTM
       648,       648,TAZ,USTM
       649,       649,TAZ,USTM
       650,       650,TAZ,USTM
       651,       651,TAZ,USTM
       652,       652,TAZ,USTM
       653,       653,TAZ,USTM
       654,       654,TAZ,USTM
       655,       655,TAZ,USTM
       656,       656,TAZ,USTM
       657,       657,TAZ,USTM
       658,       658,TAZ,USTM
       659,       659,TAZ,USTM
