;PrevNode,New_Node,Type
     11076,     80259,Highway
     11077,     80260,Highway
     11078,     80261,Highway
     11079,     80262,Highway
     11080,     80263,Highway
     11081,     80264,Highway
     11082,     80265,Highway
     11083,     80266,Highway
     11084,     80267,Highway
     11085,     80268,Highway
     11086,     80269,Highway
     11087,     80270,Highway
     11088,     80271,Highway
     11089,     80272,Highway
     11090,     80273,Highway
     11091,     80274,Highway
     11092,     80275,Highway
     11093,     80276,Highway
     11094,     80277,Highway
     11095,     80278,Highway
     11096,     80279,Highway
     11097,     80280,Highway
     11098,     80281,Highway
     11099,     80282,Highway
     11100,     80283,Highway
     11101,     80284,Highway
     11102,     80285,Highway
     11103,     80286,Highway
     11104,     80287,Highway
     11105,     80288,Highway
     11106,     80289,Highway
     11107,     80290,Highway
     11108,     80291,Highway
     11109,     80292,Highway
     11110,     80293,Highway
     11111,     80294,Highway
     11112,     80295,Highway
     11113,     80296,Highway
     11114,     80297,Highway
     11115,     80298,Highway
     11116,     80299,Highway
     11117,     80300,Highway
     11118,     80301,Highway
     11119,     80302,Highway
     11120,     80303,Highway
     11121,     80304,Highway
     11122,     80305,Highway
     11123,     80306,Highway
     11124,     80307,Highway
     11125,     80308,Highway
     11126,     80309,Highway
     11127,     80310,Highway
     11128,     80311,Highway
     11129,     80312,Highway
     11130,     80313,Highway
     11131,     80314,Highway
     11132,     80315,Highway
     11133,     80316,Highway
     11134,     80317,Highway
     11135,     80318,Highway
     11136,     80319,Highway
     11137,     80320,Highway
     11138,     80321,Highway
     11139,     80322,Highway
     11140,     80323,Highway
     11141,     80324,Highway
     11142,     80325,Highway
     11143,     80326,Highway
     11144,     80327,Highway
     11145,     80328,Highway
     11146,     80329,Highway
     11147,     80330,Highway
     11148,     80331,Highway
     11149,     80332,Highway
     11150,     80333,Highway
     11151,     80334,Highway
     11152,     80335,Highway
     11153,     80336,Highway
     11154,     80337,Highway
     11155,     80338,Highway
     11156,     80339,Highway
     11157,     80340,Highway
     11158,     80341,Highway
     11159,     80342,Highway
     11160,     80343,Highway
     11161,     80344,Highway
     11162,     80345,Highway
     11163,     80346,Highway
     11164,     80347,Highway
     11165,     80348,Highway
     11166,     80349,Highway
     11167,     80350,Highway
     11168,     80351,Highway
     11169,     80352,Highway
     11170,     80353,Highway
     11171,     80354,Highway
     11172,     80355,Highway
     11173,     80356,Highway
     11174,     80357,Highway
     11175,     80358,Highway
     11176,     80359,Highway
     11177,     80360,Highway
     11178,     80361,Highway
     11179,     80362,Highway
     11180,     80363,Highway
     11181,     80364,Highway
     11182,     80365,Highway
     11183,     80366,Highway
     11184,     80367,Highway
     11185,     80368,Highway
     11186,     80369,Highway
     11187,     80370,Highway
     11188,     80371,Highway
     11189,     80372,Highway
     11190,     80373,Highway
     11191,     80374,Highway
     11192,     80375,Highway
     11193,     80376,Highway
     11194,     80377,Highway
     11195,     80378,Highway
     11196,     80379,Highway
     11197,     80380,Highway
     11198,     80381,Highway
     11199,     80382,Highway
     11200,     80383,Highway
     11201,     80384,Highway
     11202,     80385,Highway
     11203,     80386,Highway
     11204,     80387,Highway
     11205,     80388,Highway
     11206,     80389,Highway
     11207,     80390,Highway
     11208,     80391,Highway
     11209,     80392,Highway
     11210,     80393,Highway
     11211,     80394,Highway
     11212,     80395,Highway
     11213,     80396,Highway
     11214,     80397,Highway
     11215,     80398,Highway
     11216,     80399,Highway
     11217,     80400,Highway
     11218,     80401,Highway
     11219,     80402,Highway
     11220,     80403,Highway
     11221,     80404,Highway
     11222,     80405,Highway
     11223,     80406,Highway
     11224,     80407,Highway
     11225,     80408,Highway
     11226,     80409,Highway
     11227,     80410,Highway
     11228,     80411,Highway
